array_type,size,algorithm,threshold,time_ms
reversed,3900,hybrid,5,2224
almost_sorted,3900,hybrid,5,2175
random,3900,hybrid,10,1929
reversed,3900,hybrid,10,1519
almost_sorted,3900,hybrid,10,1468
random,3900,hybrid,20,1574
reversed,3900,hybrid,20,1201
almost_sorted,3900,hybrid,20,1076
random,3900,hybrid,30,1528
reversed,3900,hybrid,30,1479
almost_sorted,3900,hybrid,30,949
random,3900,hybrid,50,1481
reversed,3900,hybrid,50,1253
almost_sorted,3900,hybrid,50,837
random,4000,standard,0,8258
reversed,4000,standard,0,7011
almost_sorted,4000,standard,0,7032
random,4000,hybrid,5,2717
reversed,4000,hybrid,5,2258
almost_sorted,4000,hybrid,5,2112
random,4000,hybrid,10,1886
reversed,4000,hybrid,10,1525
almost_sorted,4000,hybrid,10,1467
random,4000,hybrid,20,1576
reversed,4000,hybrid,20,1195
almost_sorted,4000,hybrid,20,1021
random,4000,hybrid,30,1535
reversed,4000,hybrid,30,1154
almost_sorted,4000,hybrid,30,1016
random,4000,hybrid,50,1679
reversed,4000,hybrid,50,1197
almost_sorted,4000,hybrid,50,947
random,4100,standard,0,6483
reversed,4100,standard,0,6650
almost_sorted,4100,standard,0,5993
random,4100,hybrid,5,2552
reversed,4100,hybrid,5,2183
almost_sorted,4100,hybrid,5,2134
random,4100,hybrid,10,2359
reversed,4100,hybrid,10,1739
almost_sorted,4100,hybrid,10,1411
random,4100,hybrid,20,1606
reversed,4100,hybrid,20,1264
almost_sorted,4100,hybrid,20,1098
random,4100,hybrid,30,1585
reversed,4100,hybrid,30,1224
almost_sorted,4100,hybrid,30,1058
random,4100,hybrid,50,1521
reversed,4100,hybrid,50,1307
almost_sorted,4100,hybrid,50,932
random,4200,standard,0,6825
reversed,4200,standard,0,7929
almost_sorted,4200,standard,0,7781
random,4200,hybrid,5,2207
reversed,4200,hybrid,5,2396
almost_sorted,4200,hybrid,5,1824
random,4200,hybrid,10,1636
reversed,4200,hybrid,10,1472
almost_sorted,4200,hybrid,10,1468
random,4200,hybrid,20,1369
reversed,4200,hybrid,20,1051
almost_sorted,4200,hybrid,20,921
random,4200,hybrid,30,1365
reversed,4200,hybrid,30,1052
almost_sorted,4200,hybrid,30,1043
random,4200,hybrid,50,1421
reversed,4200,hybrid,50,1145
almost_sorted,4200,hybrid,50,716
random,4300,standard,0,6221
reversed,4300,standard,0,5486
almost_sorted,4300,standard,0,5189
random,4300,hybrid,5,2435
reversed,4300,hybrid,5,1845
almost_sorted,4300,hybrid,5,3242
random,4300,hybrid,10,1765
reversed,4300,hybrid,10,1329
almost_sorted,4300,hybrid,10,1268
random,4300,hybrid,20,1402
reversed,4300,hybrid,20,1087
almost_sorted,4300,hybrid,20,1134
random,4300,hybrid,30,1392
reversed,4300,hybrid,30,1093
almost_sorted,4300,hybrid,30,929
random,4300,hybrid,50,1343
reversed,4300,hybrid,50,1235
almost_sorted,4300,hybrid,50,1085
random,4400,standard,0,5748
reversed,4400,standard,0,5633
almost_sorted,4400,standard,0,5573
random,4400,hybrid,5,2248
